,tSNE_x,tSNE_y,Location,Type,id
446,-23.951866,48.285606,Ireland,Residential,1453
447,-41.692715,33.446,Ireland,Residential,1454
448,9.277334,39.44513,Ireland,Residential,1455
449,13.781667,-61.982323,Ireland,Residential,1456
450,44.247787,-35.339626,Ireland,Residential,1457
451,-13.6395035,68.802315,Ireland,Residential,1458
452,-32.7474,-7.25066,Ireland,Residential,1459
453,-16.136309,50.152058,Ireland,Residential,1460
454,-28.036814,-13.489359,Ireland,Residential,1461
455,-27.780926,9.233054,Ireland,Residential,1462
456,-17.775759,-11.983401,Ireland,Residential,1463
457,13.873755,-11.326358,Ireland,Residential,1464
458,43.442436,10.457544,Ireland,Residential,1465
459,10.714278,65.07369,Ireland,Residential,1466
460,39.090733,-50.244156,Ireland,Residential,1467
461,-32.885353,-38.05,Ireland,Residential,1468
462,-19.362011,3.139721,Ireland,Residential,1469
463,-13.306369,-63.194202,Ireland,Residential,1470
464,10.760918,43.24474,Ireland,Residential,1471
465,-49.89416,25.683939,Ireland,Residential,1472
466,-10.443528,-16.217974,Ireland,Residential,1473
467,23.132532,28.784292,Ireland,Residential,1474
468,-55.754337,-3.7344444,Ireland,Residential,1475
469,-6.37787,-26.363258,Ireland,Residential,1476
470,-68.36297,-1.1006609,Ireland,Residential,1477
471,47.996815,-47.48536,Ireland,Residential,1478
472,-20.826143,63.38224,Ireland,Residential,1479
473,-1.3179692,-61.571815,Ireland,Residential,1480
474,18.97299,40.45693,Ireland,Residential,1481
475,-7.424095,37.626194,Ireland,Residential,1482
476,2.5325055,-11.344312,Ireland,Residential,1483
477,-41.33487,33.156136,Ireland,Residential,1484
478,-27.640568,61.802593,Ireland,Residential,1485
479,16.928549,1.1611865,Ireland,Residential,1486
480,-39.24327,70.81052,Ireland,Residential,1487
481,-67.19905,-0.691926,Ireland,Residential,1488
482,-45.624218,-28.851313,Ireland,Residential,1490
483,-26.84775,64.11302,Ireland,Residential,1491
484,-5.4060273,-30.790487,Ireland,Residential,1492
485,-4.7797375,27.624725,Ireland,Residential,1493
486,8.2605095,-11.843883,Ireland,Residential,1494
487,-72.072784,-9.973465,Ireland,Residential,1495
488,-52.583797,30.492952,Ireland,Residential,1496
489,-41.62204,-11.403994,Ireland,Residential,1497
490,-50.69349,28.943213,Ireland,Residential,1498
491,-49.01218,-3.1788878,Ireland,Residential,1499
492,-20.909922,10.168152,Ireland,Residential,1500
493,-42.143475,41.19901,Ireland,Residential,1501
494,-32.01587,-39.113365,Ireland,Residential,1502
495,41.202534,-47.041985,Ireland,Residential,1503
496,-42.46556,54.54431,Ireland,Residential,1504
497,-11.190038,-62.81473,Ireland,Residential,1505
498,-45.38223,59.686665,Ireland,Residential,1506
499,-8.514394,-34.84711,Ireland,Residential,1507
500,-39.43532,-16.86766,Ireland,Residential,1508
501,-45.74659,-29.364899,Ireland,Residential,1509
502,-30.037767,-6.17482,Ireland,Residential,1510
503,42.114803,-39.471725,Ireland,Residential,1511
504,-31.598227,5.0621557,Ireland,Residential,1512
505,-35.553616,52.8362,Ireland,Residential,1513
506,3.7262506,-10.462461,Ireland,Residential,1514
507,-51.033283,14.307849,Ireland,Residential,1515
508,-30.863987,-23.67446,Ireland,Residential,1516
509,-50.678883,31.325975,Ireland,Residential,1517
510,29.594088,-18.25598,Ireland,Residential,1518
511,-9.016787,-25.066511,Ireland,Residential,1519
512,33.08493,-57.44188,Ireland,Residential,1520
513,-21.562836,-57.695217,Ireland,Residential,1521
514,31.564728,-31.309633,Ireland,Residential,1522
515,32.918804,-21.61455,Ireland,Residential,1523
516,15.548847,-57.179993,Ireland,Residential,1524
517,44.046165,-45.43036,Ireland,Residential,1525
518,-43.10888,-9.591738,Ireland,Residential,1526
519,-15.256431,0.11610676,Ireland,Residential,1527
520,-32.783974,24.748112,Ireland,Residential,1528
521,16.481853,38.254776,Ireland,Residential,1529
522,3.7738936,17.958925,Ireland,Residential,1530
523,-7.33306,-7.3141856,Ireland,Residential,1531
524,-18.4951,72.93456,Ireland,Residential,1532
525,16.06533,-63.879707,Ireland,Residential,1533
526,-26.564112,47.318344,Ireland,Residential,1534
527,-11.639974,-46.211327,Ireland,Residential,1535
528,0.16875245,-13.541721,Ireland,Residential,1536
529,-9.78273,-15.260383,Ireland,Residential,1537
530,13.031427,-67.26902,Ireland,Residential,1538
531,22.690264,42.751446,Ireland,Residential,1539
532,11.127381,37.88965,Ireland,Residential,1540
533,-43.415737,-47.644875,Ireland,Residential,1541
534,4.258048,3.3294709,Ireland,Residential,1542
535,11.060162,43.288624,Ireland,Residential,1543
536,47.191246,-47.73805,Ireland,Residential,1544
537,-28.81269,60.682407,Ireland,Residential,1545
538,28.02674,-13.996953,Ireland,Residential,1546
539,-57.757034,19.133165,Ireland,Residential,1547
540,9.3247385,-6.5293493,Ireland,Residential,1548
541,14.949555,67.590775,Ireland,Residential,1549
542,-54.98287,-20.96315,Ireland,Residential,1550
543,-4.773557,37.135834,Ireland,Residential,1551
544,-22.918447,-0.7972734,Ireland,Residential,1552
545,-24.98298,-1.7458557,Ireland,Residential,1553
